1 2 3
14 7 1
14 13 1
14 15 4
14 18 1
14 25 3
14 50 5
14 118 1
14 121 3
14 125 5
14 127 2
14 137 4
14 148 3
15 1 5
15 4 5
15 8 5
15 9 5
15 11 5
15 12 5
15 15 5
15 22 5
15 27 2
15 28 5
15 31 5
15 33 2
15 39 5
15 51 4
15 55 5
15 58 4
15 64 5
15 66 4
15 69 5
15 70 4
15 71 5
15 76 5
15 79 5
15 89 2
15 92 4
15 95 5
15 96 5
15 100 5
15 125 3
15 134 4
15 135 4
15 144 5
16 1 4
16 7 4
16 13 3
16 100 4
16 111 3
16 117 3
16 125 1
16 137 4
17 1 5
17 6 5
17 8 5
17 12 5
17 13 5
17 14 5
17 15 4
17 19 3
17 22 5
17 23 4
17 25 3
17 26 4
17 28 3
17 42 3
17 45 5
17 47 3
17 48 4
17 50 4
17 52 5
17 56 5
17 57 4
17 58 4
17 59 4
17 60 4
17 61 4
17 64 5
17 66 3
17 69 3
17 70 4
17 71 4
17 72 3
17 79 4
17 81 3
17 82 3
17 83 5
17 88 3
17 89 3
17 91 3
17 95 4
17 98 5
17 99 5
17 100 5
17 111 3
17 126 5
17 127 5
17 132 5
17 133 5
17 135 3
17 136 5
17 137 5
17 142 4
18 4 4
19 11 2
19 22 5
19 50 3
19 69 1
19 82 4
19 87 5
19 94 2
19 95 3
19 98 3
19 121 3
19 143 3
19 144 2
20 1 5
20 5 2
20 7 5
20 9 5
20 15 4
20 17 4
20 50 3
20 53 4
20 56 5
20 98 5
20 103 1
20 118 1
20 121 1
20 123 4
20 127 5
20 129 4
21 2 2
21 4 5
21 17 4
21 21 4
21 24 5
21 29 1
21 50 5
21 53 3
21 68 4
21 79 4
21 85 5
21 89 5
21 96 5
21 105 1
21 109 4
21 110 1
21 117 4
21 118 4
21 128 5
21 144 5
22 7 4
22 13 4
22 32 3
22 50 4
22 55 4
22 56 4
22 59 4
22 62 3
22 70 2
22 71 3
22 73 3
22 79 4
22 82 3
22 83 4
22 88 3
22 90 2
22 91 4
22 95 4
22 96 4
22 98 5
22 99 4
22 100 5
22 102 3
22 109 3
22 116 5
22 124 5
22 132 4
22 133 4
22 134 4
22 143 3
22 144 3
23 7 4
23 9 5
23 12 5
23 25 4
23 41 5
23 56 4
23 58 3
23 69 5
23 79 4
23 92 5
23 97 4
23 98 5
23 100 5
23 109 3
23 117 4
23 127 5
23 129 3
23 132 3
24 7 4
24 23 4
24 25 5
24 50 5
24 79 4
24 82 4
24 98 5
24 114 5
24 121 4
24 125 5
24 127 3
24 131 4
24 133 3
24 134 4
24 135 3
24 141 4
24 143 3
25 7 3
25 13 3
25 14 3
25 15 4
25 25 3
25 50 4
25 100 5
25 109 3
25 111 3
25 116 2
25 117 3
25 118 3
25 121 3
25 122 1
25 126 4
25 127 5
25 129 4
25 148 3
26 100 5
26 118 3
26 121 4
26 123 5
26 148 3
27 5 3
27 7 5
27 11 4
27 12 4
27 28 4
27 31 4
27 50 4
27 56 5
27 70 4
27 79 4
27 96 5
27 98 5
27 117 4
27 145 3
28 79 4
28 98 4
29 2 3
29 7 4
29 29 3
29 69 5
29 82 4
29 135 5
30 79 2
30 124 4
30 135 4
30 136 5
31 9 3
31 50 4
31 111 3
31 117 3
31 118 3
31 122 2
32 7 4
32 11 4
32 22 5
32 27 4
32 50 5
32 55 3
32 56 5
32 62 5
32 68 5
32 79 4
32 82 1
32 89 4
32 92 4
32 96 4
32 118 2
32 121 2
33 1 5
33 22 5
33 28 4
33 35 5
33 69 5
33 70 5
33 71 5
33 78 5
33 79 3
33 82 5
33 88 5
33 94 5
33 95 5
33 97 5
33 105 3
33 112 5
33 118 5
33 133 2
33 140 5
33 144 5
33 145 1
34 1 4
34 28 4
34 31 3
34 56 4
34 58 3
34 96 4
34 97 3
34 98 4
34 100 4
35 1 5
35 2 5
35 12 4
35 15 4
35 28 5
35 38 3
35 44 3
35 48 5
35 50 5
35 58 5
35 63 4
35 66 4
35 69 4
35 72 3
35 73 4
35 79 5
35 83 4
35 86 3
35 87 4
35 88 5
35 95 5
35 96 5
35 97 3
35 98 4
35 99 5
35 102 5
35 103 3
35 111 1
35 121 4
35 131 2
35 132 5
35 135 4
35 136 4
35 141 3
35 142 4
35 143 4
36 1 5
36 3 2
36 4 4
36 5 4
36 7 4
36 8 4
36 11 5
36 12 5
36 14 2
36 15 5
36 17 3
36 25 5
36 26 5
36 28 4
36 47 1
36 49 4
36 50 4
36 51 1
36 54 3
36 56 5
36 63 3
36 64 5
36 69 4
36 70 4
36 73 4
36 77 3
36 79 4
36 82 4
36 86 4
36 91 3
36 95 4
36 97 5
36 98 5
36 102 4
36 111 4
36 118 4
36 120 4
36 121 4
36 122 2
36 124 4
36 127 4
36 131 3
36 133 4
36 140 4
36 143 4
36 144 4
37 1 4
37 5 4
37 7 5
37 9 5
37 11 3
37 15 4
37 21 2
37 24 3
37 31 4
37 50 5
37 55 4
37 56 2
37 69 4
37 71 3
37 81 4
37 82 4
37 87 5
37 88 2
37 89 5
37 90 2
37 91 2
37 95 4
37 97 2
37 98 2
37 99 4
37 100 5
37 102 2
37 106 2
37 109 3
37 120 4
37 132 4
37 133 4
37 135 5
37 143 4
37 147 4
37 148 4
38 7 3
38 13 5
38 21 3
38 24 3
38 25 4
38 50 5
38 100 5
38 108 4
38 109 5
38 111 4
38 118 4
38 127 5
39 7 4
39 50 4
39 93 4
39 127 5
40 28 2
40 50 4
40 98 5
40 132 5
40 136 4
41 2 1
41 3 3
41 8 3
41 10 3
41 11 3
41 12 4
41 17 2
41 25 2
41 38 1
41 39 2
41 40 1
41 42 4
41 47 5
41 49 2
41 50 1
41 53 4
41 54 2
41 55 4
41 56 5
41 62 2
41 68 1
41 70 2
41 71 3
41 72 2
41 77 1
41 82 1
41 85 3
41 90 1
41 93 5
41 95 2
41 96 1
41 98 4
41 100 4
41 101 3
41 102 2
41 116 4
41 117 1
41 121 1
41 123 1
41 129 2
41 143 3
41 145 1
41 147 1
41 148 1
42 9 4
42 15 2
42 100 2
42 125 2
