ID,RM,RAD,TAX,PRICE
199,6.373,5,276,23
200,6.951,8,307,26.7
201,6.164,8,307,21.7
202,6.879,8,307,27.5
203,6.618,8,307,30.1
204,8.266,8,307,44.8
205,8.725,8,307,50
206,8.04,8,307,37.6
207,7.163,8,307,31.6
208,7.686,8,307,46.7
209,6.552,8,307,31.5
210,5.981,8,307,24.3
211,6.631,8,307,25.1
212,7.358,8,307,31.5
213,6.481,6,300,23.7
214,6.606,6,300,23.3
215,6.897,6,300,22
216,6.095,6,300,20.1
217,6.358,6,300,22.2
218,6.393,6,300,23.7
219,5.593,7,330,17.6
220,5.605,7,330,18.5
221,6.108,7,330,24.3
222,6.226,7,330,20.5
223,6.433,7,330,24.5
224,6.718,7,330,26.2
225,6.487,7,330,24.4
226,6.438,7,330,24.8
227,6.957,7,330,29.6
228,8.259,7,330,42.8
229,6.108,1,315,21.9
230,5.876,1,315,20.9
231,7.454,3,244,44
232,8.704,5,264,50
233,7.333,5,264,36
234,6.842,5,264,30.1
235,7.203,5,264,33.8
236,7.52,5,264,43.1
237,8.398,5,264,48.8
238,7.327,5,264,31
239,7.206,5,264,36.5
240,5.56,5,264,22.8
241,6.24,3,223,25.2
242,6.538,3,223,24.4
243,7.691,3,223,35.2
244,6.758,4,254,32.4
245,6.854,4,254,32
246,7.267,4,254,33.2
247,6.826,4,254,33.1
248,6.482,4,254,29.1
249,6.812,5,216,35.1
250,7.82,5,216,45.4
251,6.968,5,216,35.4
252,7.645,5,216,46
253,7.923,1,198,50
254,7.088,1,285,32.2
255,6.453,1,300,22
256,6.23,1,241,20.1
257,6.209,6,293,23.2
258,6.315,6,293,22.3
259,6.565,6,293,24.8
260,6.861,4,245,28.5
261,7.148,4,245,37.3
262,6.63,4,245,27.9
263,6.127,4,289,23.9
264,6.009,4,289,21.7
265,6.678,4,289,28.6
266,6.549,4,289,27.1
267,5.79,4,289,20.3
268,6.345,5,358,22.5
269,7.041,5,358,29
270,6.616,7,222,28.4
271,7.42,7,222,33.4
272,6.849,7,222,28.2
273,6.635,4,304,22.8
274,5.972,4,304,20.3
275,4.973,4,304,16.1
276,6.122,4,304,22.1
277,6.023,4,304,19.4
278,6.266,4,304,21.6
279,6.567,4,304,23.8
280,5.705,4,304,16.2
281,6.376,5,287,23.1
282,6.041,5,287,20.4
283,5.708,5,287,18.5
284,6.415,5,287,25
285,6.431,5,287,24.6
286,6.312,5,287,23
287,6.083,5,287,22.2
288,5.868,4,430,19.3
289,5.869,5,224,19.5
290,5.895,5,224,18.5
291,6.059,5,224,20.6
292,5.985,5,224,19
293,5.968,5,224,18.7
294,7.241,1,284,32.7
295,6.54,1,422,16.5
296,6.696,5,370,23.9
297,6.874,5,370,31.2
298,6.014,3,352,17.5
299,5.898,3,352,17.2
300,6.516,4,351,23.1
301,6.635,4,280,24.5
302,6.939,1,335,26.6
303,6.49,1,335,22.9
304,6.579,4,411,24.1
305,5.884,4,411,18.6
306,6.728,5,187,30.1
307,5.663,4,334,18.2
308,5.936,4,334,20.6
309,6.212,24,666,17.8
310,6.395,24,666,21.7
311,6.127,24,666,22.7
312,6.112,24,666,22.6
313,6.398,24,666,25
314,6.251,24,666,19.9
315,5.362,24,666,20.8
316,5.803,24,666,16.8
317,8.78,24,666,21.9
318,3.561,24,666,27.5
319,4.963,24,666,21.9
320,3.863,24,666,23.1
321,4.97,24,666,50
322,6.683,24,666,50
323,7.016,24,666,50
324,6.216,24,666,50
325,5.875,24,666,50
326,4.906,24,666,13.8
327,4.138,24,666,13.8
328,7.313,24,666,15
329,6.649,24,666,13.9
330,6.794,24,666,13.3
331,6.38,24,666,13.1
332,6.223,24,666,10.2
333,6.968,24,666,10.4
334,6.545,24,666,10.9
335,5.536,24,666,11.3
336,5.52,24,666,12.3
337,4.368,24,666,8.8
338,5.277,24,666,7.2
339,4.652,24,666,10.5
340,5,24,666,7.4
341,4.88,24,666,10.2
342,5.39,24,666,11.5
343,5.713,24,666,15.1
344,6.051,24,666,23.2
345,5.036,24,666,9.7
346,6.193,24,666,13.8
347,5.887,24,666,12.7
348,6.471,24,666,13.1
349,6.405,24,666,12.5
350,5.747,24,666,8.5
351,5.453,24,666,5
352,5.852,24,666,6.3
353,5.987,24,666,5.6
354,6.343,24,666,7.2
355,6.404,24,666,12.1
356,5.349,24,666,8.3
357,5.531,24,666,8.5
358,5.683,24,666,5
359,4.138,24,666,11.9
360,5.608,24,666,27.9
361,5.617,24,666,17.2
362,6.852,24,666,27.5
363,5.757,24,666,15
364,6.657,24,666,17.2
365,4.628,24,666,17.9
366,5.155,24,666,16.3
367,4.519,24,666,7
368,6.434,24,666,7.2
369,6.782,24,666,7.5
370,5.304,24,666,10.4
371,5.957,24,666,8.8
372,6.824,24,666,8.4
373,6.411,24,666,16.7
374,6.006,24,666,14.2
375,5.648,24,666,20.8
376,6.103,24,666,13.4
377,5.565,24,666,11.7
378,5.896,24,666,8.3
379,5.837,24,666,10.2
380,6.202,24,666,10.9
381,6.193,24,666,11
382,6.38,24,666,9.5
383,6.348,24,666,14.5
384,6.833,24,666,14.1
385,6.425,24,666,16.1
386,6.436,24,666,14.3
387,6.208,24,666,11.7
388,6.629,24,666,13.4
389,6.461,24,666,9.6
390,6.152,24,666,8.7
391,5.935,24,666,8.4
392,5.627,24,666,12.8
393,5.818,24,666,10.5
394,6.406,24,666,17.1
395,6.219,24,666,18.4
396,6.485,24,666,15.4
397,5.854,24,666,10.8
398,6.459,24,666,11.8
399,6.341,24,666,14.9
400,6.251,24,666,12.6
401,6.185,24,666,14.1
402,6.417,24,666,13
403,6.749,24,666,13.4
404,6.655,24,666,15.2
405,6.297,24,666,16.1
406,7.393,24,666,17.8
407,6.728,24,666,14.9
408,6.525,24,666,14.1
409,5.976,24,666,12.7
410,5.936,24,666,13.5
411,6.301,24,666,14.9
412,6.081,24,666,20
413,6.701,24,666,16.4
414,6.376,24,666,17.7
415,6.317,24,666,19.5
416,6.513,24,666,20.2
417,6.209,24,666,21.4
418,5.759,24,666,19.9
419,5.952,24,666,19
420,6.003,24,666,19.1
421,5.926,24,666,19.1
422,5.713,24,666,20.1
423,6.167,24,666,19.9
424,6.229,24,666,19.6
425,6.437,24,666,23.2
426,6.98,24,666,29.8
427,5.427,24,666,13.8
428,6.162,24,666,13.3
429,6.484,24,666,16.7
430,5.304,24,666,12
431,6.185,24,666,14.6
432,6.229,24,666,21.4
433,6.242,24,666,23
434,6.75,24,666,23.7
435,7.061,24,666,25
436,5.762,24,666,21.8
437,5.871,24,666,20.6
438,6.312,24,666,21.2
439,6.114,24,666,19.1
440,5.905,24,666,20.6
441,5.454,4,711,15.2
442,5.414,4,711,7
443,5.093,4,711,8.1
444,5.983,4,711,13.6
445,5.983,4,711,20.1
446,5.707,6,391,21.8
447,5.926,6,391,24.5
448,5.67,6,391,23.1
449,5.39,6,391,19.7
450,5.794,6,391,18.3
451,6.019,6,391,21.2
452,6.12,1,273,20.6
453,6.976,1,273,23.9
454,6.794,1,273,22
455,6.03,1,273,11.9
